Sat.A1ModJulian           Sat.Earth.RMAG            
29862.50042863868         7000                      
29862.50244352999         7000.009160321867         
29862.50442125442         7000.070911170449         
29862.50639471625         7000.234599023594         
29862.50836771288         7000.54627662674          
29862.5103407345          7001.047043936708         
29862.51231390653         7001.77165188924          
29862.51428732617         7002.747350027666         
29862.51626109884         7003.992984717889         
29862.51823533992         7005.518377725873         
29862.52021016991         7007.32400358982          
29862.52218571274         7009.400980294261         
29862.52416208901         7011.731365488055         
29862.52613941436         7014.288757240597         
29862.52811779358         7017.039170209314         
29862.53009731853         7019.942167478916         
29862.53207806488         7022.952205994782         
29862.53406008862         7026.02015252394          
29862.53604342543         7029.094925880814         
29862.5380280887          7032.125205230393         
29862.54001406925         7035.061153024235         
29862.54200133567         7037.856093198873         
29862.54398983553         7040.468088806428         
29862.54597949658         7042.861363658813         
29862.54797022982         7045.007521766628         
29862.54996193245         7046.886518717626         
29862.55195449059         7048.487351186878         
29862.55394778397         7049.808441300838         
29862.55594168958         7050.857698738494         
29862.55793608621         7051.652259151527         
29862.55993085792         7052.217906290588         
29862.56192589849         7052.588198673267         
29862.56392111527         7052.803330247569         
29862.5659164317          7052.908765144891         
29862.5679117902          7052.95369459247          
29862.56990715416         7052.989369465739         
29862.57190250951         7053.06736640571          
29862.57389786463         7053.237847125106         
29862.57589324993         7053.547870058852         
29862.57788871758         7054.039811346766         
29862.57988433986         7054.7499476581           
29862.58188020543         7055.707246527073         
29862.58387641763         7056.932404567341         
29862.58587309048         7058.437162833175         
29862.58787034521         7060.223921450863         
29862.58986830583         7062.285664224513         
29862.59186709521         7064.60619561635          
29862.5938668308          7067.160681063516         
29862.59586762115         7069.916474068956         
29862.59786956184         7072.83420136348          
29862.59987273228         7075.869072677269         
29862.6018771935          7078.972373303278         
29862.6038829856          7082.093089028674         
29862.60589012655         7085.179612671069         
29862.60789861188         7088.181475779533         
29862.60990841476         7091.051046711129         
29862.61191948607         7093.745137909864         
29862.61393175725         7096.226471320081         
29862.6159451422          7098.464946218963         
29862.61795953907         7100.438666919037         
29862.61997483569         7102.134697741853         
29862.62199091173         7103.549510453301         
29862.62400764345         7104.689114101734         
29862.62602490779         7105.568858183021         
29862.62804258685         7106.212916408375         
29862.63006057155         7106.653468069214         
29862.63207876514         7106.929605960567         
29862.63409708704         7107.086008875286         
29862.63611547496         7107.171424792203         
29862.63813388814         7107.237018064889         
29862.64015230706         7107.334637710308         
29862.64217073562         7107.515066682441         
29862.64418920039         7107.82631169181          
29862.64620774968         7108.311991294321         
29862.64822645202         7109.009875983972         
29862.6502453935          7109.950628004829         
29862.65226467604         7111.156782621473         
29862.65428441275         7112.642001587433         
29862.65630472435         7114.410623439492         
29862.65832573551         7116.457524192986         
29862.66034757063         7118.768291511934         
29862.66237034951         7121.319706061377         
29862.66439418394         7124.080515322698         
29862.66641917307         7127.012471836922         
29862.66844540054         7130.071605926655         
29862.67047293181         7133.209690033782         
29862.67250181156         7136.375846911301         
29862.67453206307         7139.518251783133         
29862.67656368613         7142.585867875847         
29862.67859665806         7145.530164123681         
29862.68063093401         7148.306752154357         
29862.6826664489          7150.876890007263         
29862.68470311914         7153.208798728918         
29862.68674084538         7155.278747428117         
29862.68877951597         7157.071868252513         
29862.69081901159         7158.582671872727         
29862.69285920751         7159.8152419494           
29862.69489997949         7160.783105678948         
29862.69694120733         7161.508779314884         
29862.6989827787          7162.023006546229         
29862.70102459338         7162.363715716052         
29862.70306656669         7162.574731792663         
29862.70510863219         7162.704288469701         
29862.70715074372         7162.803392349853         
29862.70919287759         7162.924096027397         
29862.71123503296         7163.117739590527         
29862.71327723181         7163.433220706222         
29862.71531951846         7163.915351787178         
29862.717361958           7164.6033590935           
29862.7194046343          7165.529573311201         
29862.72144764652         7166.718353684579         
29862.72349110647         7168.185280907274         
29862.72553513506         7169.936643842449         
29862.72757985739         7171.969234427471         
29862.72962539945         7174.27045909213          
29862.73167188345         7176.818759713956         
29862.73371942358         7179.584331374548         
29862.73576812255         7182.53011399044          
29862.73781806831         7185.613025311155         
29862.73986933097         7188.785394923424         
29862.74192195994         7191.996552943804         
29862.74397598282         7195.194524087995         
29862.74603140454         7198.327769147295         
29862.74808820713         7201.346916921416         
29862.7501463496          7204.206427855372         
29862.75220577065         7206.866136944078         
29862.75426638932         7209.292616184883         
29862.75632810848         7211.460316039265         
29862.75839081813         7213.352441345446         
29862.76045439897         7214.961531398973         
29862.76251872653         7216.289723067332         
29862.7645836748          7217.348686259946         
29862.76664912152         7218.159234332082         
29862.76871495141         7218.750620361622         
29862.77078106087         7219.159545554282         
29862.77284736136         7219.428912972886         
29862.77491378146         7219.606370821612         
29862.77698027091         7219.742696339703         
29862.7790468009          7219.890075877187         
29862.78111336563         7220.100341151623         
29862.78317998281         7220.423221851827         
29862.7852466926          7220.90467378275          
29862.78731355673         7221.58533875078          
29862.78938065555         7222.499186528712         
29862.79144808677         7223.672384413515         
29862.79351596032         7225.122428277507         
29862.79558439659         7226.857566008267         
29862.79765352139         7228.876527503746         
29862.79972346186         7231.168571124762         
29862.80179434202         7233.713843379858         
29862.80386627946         7236.484041567312         
29862.80593938024         7239.44335373741          
29862.80801373633         7242.549651017252         
29862.81008942217         7245.75588926307          
29862.81216649184         7249.011676560834         
29862.81424497808         7252.264957680003         
29862.81632489068         7255.463756351242         
29862.81840621622         7258.557920967613         
29862.82048891808         7261.50081364845          
29862.82257293813         7264.25088807843          
29862.82465819897         7266.77309987231          
29862.8267446057          7269.040099910593         
29862.82883204976         7271.033171742602         
29862.83092041273         7272.742876968505         
29862.83300956942         7274.169384801288         
29862.83509939334         7275.322476155411         
29862.83718976005         7276.221217346842         
29862.83928055154         7276.893317070532         
29862.8413716607          7277.374187509632         
29862.84346299475         7277.705742145975         
29862.84555447828         7277.934972677826         
29862.84764605571         7278.112354713056         
29862.84973769369         7278.290137707355         
29862.8518293817          7278.520578230007         
29862.85392113303         7278.854177393377         
29862.8560129831          7279.337981902504         
29862.85810498987         7280.014006459571         
29862.86019723118         7280.917829150695         
29862.86228980173         7282.077405767747         
29862.86438281053         7283.512141880701         
29862.86647637716         7285.232251390176         
29862.8685706277          7287.238421561989         
29862.87066569015         7289.521794118081         
29862.8727616906          7292.064263208852         
29862.87485874912         7294.839079389953         
29862.87695697586         7297.81173981933          
29862.87905646638         7300.941134266842         
29862.88115729941         7304.180914366362         
29862.88325953435         7307.48103822573          
29862.88536320857         7310.78944003956          
29862.88746833658         7314.053773191936         
29862.88957490963         7317.223167298054         
29862.89168289559         7320.249940435395         
29862.8937922404          7323.091210776473         
29862.89590286958         7325.710350341178         
29862.89801469108         7328.078232722565         
29862.90012759804         7330.174228979229         
29862.9022414727          7331.986917966285         
29862.90435618981         7333.514483790081         
29862.90647162192         7334.764787412053         
29862.90858764263         7335.755106070756         
29862.91070413153         7336.511551774862         
29862.91282097792         7337.068186824721         
29862.91493808514         7337.465868048145         
29862.91705537341         7337.750859509813         
29862.91917278269         7337.973262684813         
29862.92129027444         7338.185318551435         
29862.92340783304         7338.4396404723           
29862.92552546735         7338.78743874374          
29862.92764320833         7339.27679669474          
29862.92976111031         7339.951057449697         
29862.93187924746         7340.847373592655         
29862.93399771248         7341.995468690595         
29862.9361166125          7343.416649210561         
29862.93823606608         7345.123099619951         
29862.94035619938         7347.11748194252          
29862.94247714137         7349.392851159242         
29862.94459902037         7351.932890389032         
29862.94672195879         7354.712454294386         
29862.94884606984         7357.698406783351         
29862.95097145332         7360.850722511256         
29862.95309819257         7364.123818866685         
29862.95522635173         7367.468074427142         
29862.95735597281         7370.831483660462         
29862.95948707566         7374.161398549467         
29862.96161965606         7377.406292737121         
29862.96375368618         7380.517495670423         
29862.96588911627         7383.450836965938         
29862.96802587544         7386.168141848495         
29862.97016387407         7388.638529934205         
29862.97230300723         7390.839471022246         
