Sat.EarthMJ2000Eq.VX      Sat.EarthMJ2000Eq.VY      Sat.EarthMJ2000Eq.VZ      Sat.EarthMJ2000Eq.X       Sat.EarthMJ2000Eq.Y       Sat.EarthMJ2000Eq.Z       Sat.UTCGregorian           
0.0001815932959775521     -0.0003265604361337172    -0.0001480465385141316    -1820.184331890368        -846.561615109111         -376.5466782654607        20 Jul 2023 00:00:00.000   
-0.004385898420167678     -0.006918331451654325     -0.0003347225647232221    -2003.910050973296        -1162.392704948783        -398.804128870368         21 Jul 2023 00:00:00.000   
-0.008702566577870385     -0.01309300742989095      -0.0003138734512200259    -2570.836517646909        -2030.026470273733        -428.404760196805         22 Jul 2023 00:00:00.000   
-0.01285413463278928      -0.01881494580467269      -6.307035082997459e-05    -3502.951130867004        -3411.815821945667        -446.4139336422086        23 Jul 2023 00:00:00.000   
-0.01693289825987421      -0.02405801662624718      0.0004353247072694799     -4789.925197571516        -5267.447819456458        -432.167784281075         24 Jul 2023 00:00:00.000   
-0.02032093530323564      -0.02801890556043674      0.001043544353004577      -6120.094263121486        -7129.321052610874        -380.4280259758234        24 Jul 2023 19:50:26.698   
-0.02032093530272761      -0.02801890556121478      0.001043544352670622      -6120.094267457724        -7129.321055158973        -380.4280270338058        24 Jul 2023 19:50:26.699   
-0.02430790559927942      -0.03261327436926997      0.001905991925686301      -8046.79087716341         -9752.222617432475        -254.9400365501642        25 Jul 2023 19:50:26.699   
-0.02853367285616315      -0.0367166335243585       0.003035193685342108      -10327.36439657211        -12750.73160277307        -43.37890591472387        26 Jul 2023 19:50:26.699   
-0.03313077397734077      -0.04036053499596548      0.004419842959936915      -12988.09469489753        -16083.59292532504        276.9146845713258         27 Jul 2023 19:50:26.699   
-0.03823913816228597      -0.04360867931547574      0.006031863468301424      -16067.08867119253        -19713.59280878305        726.9403676986694         28 Jul 2023 19:50:26.699   
-0.04294504495738138      -0.0460687201213883       0.007501036339212952      -18963.60505568981        -22917.23296822608        1209.634909801185         29 Jul 2023 15:40:53.397   
-0.04294504495725704      -0.04606872012156771      0.007501036339144562      -18963.60505656898        -22917.23296897113        1209.634909518063         29 Jul 2023 15:40:53.397   
-0.04908090192621017      -0.04915078799652761      0.009266121207000211      -22933.47506722808        -27031.29350301623        1933.467422507703         30 Jul 2023 15:40:53.397   
-0.05602313885450627      -0.05225348589647183      0.01104884363884029       -27468.08201405406        -31411.05644030869        2811.346340946853         31 Jul 2023 15:40:53.397   
-0.06376217483500923      -0.05559002654308998      0.01273458108199055       -32637.31033372879        -36067.43623298407        3839.915650673211         01 Aug 2023 15:40:53.397   
-0.07219738844724333      -0.05936609448886898      0.0142083449550201        -38506.31711821258        -41029.71514320374        5005.757797166705         02 Aug 2023 15:40:53.397   
-0.07956772295422354      -0.06293595388386208      0.01519801735172877       -43924.64193935692        -45394.8807284683         6057.336794435978         03 Aug 2023 11:31:20.095   
-0.07956772295378656      -0.06293595388436302      0.01519801735151827       -43924.64194209874        -45394.88073062897        6057.336793504655         03 Aug 2023 11:31:20.095   
-0.08851219902498642      -0.06811929630437064      0.01595570674937807       -51184.28260144591        -51051.40484769642        7405.901486776769         04 Aug 2023 11:31:20.095   
-0.09753044466403438      -0.07400137809640839      0.01633099472298927       -59221.65065206587        -57186.08790704608        8803.431986801326         05 Aug 2023 11:31:20.095   
-0.1063979786134119       -0.08053143745813074      0.01633888005879136       -68033.15600059927        -63857.55122186244        10217.2892735526          06 Aug 2023 11:31:20.095   
-0.1149359962943315       -0.08760948345980424      0.01602262457838144       -77597.67818313837        -71117.7250353694         11617.44059092551         07 Aug 2023 11:31:20.095   
-0.121654385063465        -0.09378579005306875      0.01555832302176086       -86049.13005916774        -77594.46021071076        12746.27203243971         08 Aug 2023 07:21:46.794   
-0.1216543850627723       -0.093785790053726        0.01555832302148019       -86049.13006271422        -77594.46021404862        12746.2720310092          08 Aug 2023 07:21:46.794   
-0.1290369106938982       -0.1017680488750408       0.01470234462547992       -96882.96581511199        -86040.60412375629        14054.81622821093         09 Aug 2023 07:21:46.794   
-0.135851749934524        -0.1099343844312273       0.01370038580908073       -108330.3286364228        -95185.27089048922        15282.63652266562         10 Aug 2023 07:21:46.794   
-0.1420847195786301       -0.1181641625278083       0.01261456090569268       -120341.3677157909        -105039.0819468498        16419.83221932501         11 Aug 2023 07:21:46.794   
-0.1477446072995718       -0.1263469881643715       0.01150266579927006       -132866.0456785113        -115602.675344497         17461.68654379994         12 Aug 2023 07:21:46.794   
-0.1520093742215849       -0.1330045761425396       0.01060185209039588       -143573.4277240187        -124865.7469282746        18250.91655095667         13 Aug 2023 03:12:13.492   
-0.1520093742213717       -0.1330045761427421       0.01060185209031594       -143573.4277250171        -124865.7469293773        18250.91655050963         13 Aug 2023 03:12:13.492   
-0.1558949379318371       -0.1414788820340291       0.009470809776878752      -156878.4174162745        -136725.3485436291        19117.39692541212         14 Aug 2023 03:12:13.492   
-0.1593195377582326       -0.1496472652927459       0.008453106887706952      -170498.7844792157        -149304.4770953059        19890.74136016518         15 Aug 2023 03:12:13.492   
-0.1623477957743802       -0.1574364673738131       0.00758949500717776       -184397.4070979953        -162573.4647034109        20582.53679391742         16 Aug 2023 03:12:13.492   
-0.1650557730544264       -0.1647835933915012       0.006915742997076535      -198543.248931855         -176496.7550729811        21207.67979876697         17 Aug 2023 03:12:13.492   
-0.1671137077551279       -0.1704865735459045       0.006523794783680259      -210406.9317806363        -188472.4594472945        21686.71018906683         17 Aug 2023 23:02:40.191   
-0.1686142983195893       -0.1774129353386016       0.006044966717661637      -224911.1511113495        -203505.6340889484        22227.87310428917         18 Aug 2023 23:02:40.191   
-0.1700596477287277       -0.1837833552100001       0.005825389280476045      -239541.8846392781        -219113.390072614         22738.75368001685         19 Aug 2023 23:02:40.191   
-0.1715571437257726       -0.1895822166450856       0.005877093328598093      -254298.953579396         -235246.9227921963        23242.32051628083         20 Aug 2023 23:02:40.191   
-0.1732203067273002       -0.194807837754027        0.00620493158062807       -269191.7238243073        -251856.672015965         23762.27615932375         21 Aug 2023 23:02:40.191   
-0.1748052207517699       -0.1987044096486876       0.006682422448280434      -281619.5137385428        -265912.5474795401        24221.43060242757         22 Aug 2023 18:53:06.889   
-0.1748052207509669       -0.1987044096491104       0.006682422448108127      -281619.5137410611        -265912.5474832058        24221.43060076237         22 Aug 2023 18:53:06.889   
