Sat.ElapsedDays           Sat.A1Gregorian            Sat.SunICRF.VX            Sat.SunICRF.VY            Sat.SunICRF.VZ            Sat.SunICRF.X             Sat.SunICRF.Y             Sat.SunICRF.Z             Mars.SunICRF.VX           Mars.SunICRF.VY           Mars.SunICRF.VZ           Mars.SunICRF.X            Mars.SunICRF.Y            Mars.SunICRF.Z            Earth.SunICRF.VX          Earth.SunICRF.VY          Earth.SunICRF.VZ          Earth.SunICRF.X           Earth.SunICRF.Y           Earth.SunICRF.Z           
0                         20 Jul 2023 00:00:37.034   26.12608398815661         12.20163451293511         5.289560433755932         68405277.7525657          -124569338.82142          -54000478.8230257         0.1132054425190567        -20.13491132490496        -9.238511965080814        -247157133.34886          4923220.864402413         8926666.259557068         26.12590239482706         12.2019610733644          5.28970848026837          68407097.93681218         -124568492.2598195        -54000102.27590171        
1                         21 Jul 2023 00:00:37.034   25.89243652656288         12.6010444884227          5.465589024502521         70652531.00137857         -123497838.5922869        -53535845.55837996        0.3005052780340591        -20.13798482384724        -9.24497512607908         -247139262.1578142        3183422.286321744         8128175.252177849         25.89682242489946         12.60796281986518         5.465923748352229         70654534.91133867         -123496676.1995968        -53535446.75375106        
2                         22 Jul 2023 00:00:37.034   25.65143722843003         12.99698892911972         5.640114451375974         72879279.05635659         -122391978.2328982        -53056068.11385311        0.4879548852051663        -20.13974127484981        -9.250838236108358        -247105201.7243525        1443415.030889377         7329151.808896951         25.66013979492137         13.01008193654685         5.640428327341621         72881849.8927757          -122389948.2064432        -53055639.70842923        
3                         23 Jul 2023 00:00:37.034   25.40314797093393         13.38935940638073         5.813088888008358         75084889.3810332          -121252061.8885463        -52561278.35934958        0.6755453145176062        -20.14017819244275        -9.25609989934655         -247054939.4949188        -296686.9991607666        6529647.833494715         25.41600210552911         13.40817435219877         5.81315196203702          75088392.33205989         -121248650.072739         -52560831.9444867         
4                         24 Jul 2023 00:00:37.034   25.14763230980015         13.77804854143492         5.984464980209202         77268734.87707558         -120078403.00614          -52051612.29771984        0.8632675787329589        -20.13929310181609        -9.26075873390289         -246988463.693471         -2036769.68376781         5729715.245047495         25.16456520812718         13.80210655810069         5.984029660298119         77273524.8021699          -120073135.5583327        -52051180.12864338        
4.826697899305145         24 Jul 2023 19:51:03.733   24.93098799464432         14.09652171300667         6.124901019904438         79057239.17633337         -119082893.1648058        -51619139.45949636        1.018550303342174         -20.1375614431796         -9.264154040375336        -246921258.1608669        -3475196.447913453        5068126.000148296         24.95130893014616         14.12454061863629         6.123857481276312         79063359.2705023          -119075763.8437614        -51618759.02980097        
4.826697899308783         24 Jul 2023 19:51:03.733   24.93098799464388         14.0965217130073          6.124901019904715         79057239.17633688         -119082893.1648039        -51619139.45949549        1.018550303342856         -20.1375614431796         -9.264154040375351        -246921258.1608666        -3475196.447919786        5068126.000145383         24.95130893014521         14.1245406186377          6.123857481276923         79063359.27051015         -119075763.8437569        -51618759.02979905        
5.826697899308783         25 Jul 2023 19:51:03.733   24.66266657652975         14.47795250407644         6.29311966611448          81199736.04826003         -117848447.5621332        -51082668.65471254        1.206490051955814         -20.13425508461252        -9.267708179588565        -246825137.2214699        -5214948.488898143        4267544.83813338          24.68697448251719         14.51056577855787         6.291213681058348         81207782.8390673          -117838695.3395164        -51082413.71244638        
6.826697899308783         26 Jul 2023 19:51:03.733   24.38730735421645         14.85540405848718         6.459608550838466         83318745.43554471         -116581217.4620072        -50531738.19680978        1.394535993481266         -20.12961979326451        -9.270655640430396        -246712773.634928         -6954357.465254575        3466682.698491            24.4158410277156          14.89212069218148         6.456573365253639         83329072.79991521         -116568466.7303932        -50531694.81499569        
7.826697899308783         27 Jul 2023 19:51:03.733   24.104980173971           15.22877298718721         6.62432200208538          85413662.23166159         -115281551.1987732        -49966499.46499285        1.582678963906272         -20.12365316237545        -9.272995047394812        -246584158.6183408        -8693308.449720725        2665592.291246004         24.13811094890752         15.26913352242392         6.619902168513766         85426650.32639956         -115265467.6058191        -49966776.37598519        
