Sat.A1ModJulian           Sat.Earth.RMAG            
29862.50042863868         7000                      
29862.50242972159         7000.05614010789          
29862.50440592118         7000.255397723917         
29862.50637929791         7000.642970499609         
29862.5083524515          7001.258287938903         
29862.51032576598         7002.133105887335         
29862.51229938289         7003.290472006688         
29862.51427342586         7004.7439826356           
29862.51624802301         7006.49734150153          
29862.51822330527         7008.54424258487          
29862.52019940319         7010.868584813423         
29862.52217644236         7013.445009462624         
29862.52415453835         7016.239742276587         
29862.52613379447         7019.211717602341         
29862.52811429691         7022.313941225625         
29862.53009611263         7025.495054831393         
29862.53207928658         7028.70104714262          
29862.53406384094         7031.877059964984         
29862.53604977351         7034.969225201665         
29862.53803705841         7037.926477372509         
29862.54002564671         7040.702276579932         
29862.54201546779         7043.256184957116         
29862.54400643238         7045.555243470097         
29862.54599843506         7047.575097783262         
29862.54799135726         7049.300835307221         
29862.54998507266         7050.727504289848         
29862.55197945033         7051.860291443795         
29862.55397435974         7052.714354752919         
29862.55596967488         7053.3143140862           
29862.55796527897         7053.693417990517         
29862.5599610678          7053.89241484559          
29862.56195695362         7053.958168570435         
29862.56395286859         7053.942066925791         
29862.56594876573         7053.898278324599         
29862.56794462232         7053.881917786633         
29862.56994043955         7053.947185409411         
29862.57193624234         7054.145540905371         
29862.57393207928         7054.52397594706          
29862.57592802036         7055.123441800665         
29862.57792415501         7055.977484048026         
29862.57992058875         7057.111128267635         
29862.58191744017         7058.540052632628         
29862.5839148366          7060.270072433184         
29862.58591290973         7062.296952342203         
29862.58791179141         7064.606551785959         
29862.58991160952         7067.175297984031         
29862.59191248332         7069.97096983801          
29862.59391451967         7072.953768681118         
29862.59591780922         7076.077640282301         
29862.59792242372         7079.29180713251          
29862.59992841326         7082.542459651731         
29862.60193580528         7085.77455447264          
29862.6039446028          7088.933656443651         
29862.60595478466         7091.967768439996         
29862.60796630619         7094.829084639971         
29862.60997910078         7097.475609089907         
29862.61199308192         7099.872582837947         
29862.61400814645         7101.993671403867         
29862.61602417806         7103.82186874128          
29862.61804105034         7105.350085277604         
29862.62005863186         7106.581400499902         
29862.6220767907          7107.528967282004         
29862.62409539879         7108.215571348143         
29862.62611433568         7108.672860693598         
29862.6281334939          7108.94027212638          
29862.63015278125         7109.06369124058          
29862.63217212461         7109.093894064617         
29862.63419147232         7109.084824151745         
29862.63621079638         7109.091765419539         
29862.63823009276         7109.169473955988         
29862.6402493817          7109.370332731783         
29862.64226870735         7109.742591753832         
29862.64428813574         7110.328752359148         
29862.64630775331         7111.164149233165         
29862.64832766355         7112.27577573584          
29862.65034798329         7113.681390012266         
29862.65236883941         7115.388930580743         
29862.65439036392         7117.396257782356         
29862.65641269039         7119.691230440369         
29862.65843594861         7122.25211152599          
29862.66046026122         7125.048292982461         
29862.66248573882         7128.041311739321         
29862.66451247649         7131.186127906823         
29862.66654055061         7134.432622232991         
29862.668570017           7137.727266553555         
29862.67060090759         7141.014908097546         
