Sat.ElapsedDays           Sat.A1Gregorian            Sat.SunICRF.VX            Sat.SunICRF.VY            Sat.SunICRF.VZ            Sat.SunICRF.X             Sat.SunICRF.Y             Sat.SunICRF.Z             Mars.SunICRF.VX           Mars.SunICRF.VY           Mars.SunICRF.VZ           Mars.SunICRF.X            Mars.SunICRF.Y            Mars.SunICRF.Z            Sat.ElectricTank1.FuelMass   
0                         20 Jul 2023 00:00:37.034   26.12608398815661         12.20163451293511         5.289560433755932         68405277.7525657          -124569338.82142          -54000478.8230257         0.1132054425190567        -20.13491132490496        -9.238511965080814        -247157133.34886          4923220.864402413         8926666.259557068         4000                         
1                         21 Jul 2023 00:00:37.034   25.89770356794428         12.60526227591219         5.465159258074574         70652758.5448163          -123497656.3810829        -53535864.1256841         0.3005052780340591        -20.13798482384724        -9.24497512607908         -247139262.1578142        3183422.286321744         8128175.252177849         3999.6853312                 
2                         22 Jul 2023 00:00:37.034   25.66196942458245         13.00542374467148         5.639255269117812         72880189.14667496         -122391249.4208696        -53056142.36729895        0.4879548852051663        -20.13974127484981        -9.250838236108358        -247105201.7243525        1443415.030889377         7329151.808896951         3999.370662400001            
3                         23 Jul 2023 00:00:37.034   25.41894174368906         13.40200959994239         5.811800891546422         75086936.78480053         -121250422.1885211        -52561445.37592915        0.6755453145176062        -20.14017819244275        -9.25609989934655         -247054939.4949188        -296686.9991607666        6529647.833494715         3999.055993600001            
4                         24 Jul 2023 00:00:37.034   25.16868250839949         13.79491134798182         5.982748925066793         77272373.98285396         -120075488.3200886        -52051909.09510789        0.8632675787329589        -20.13929310181609        -9.26075873390289         -246988463.693471         -2036769.68376781         5729715.245047495         3998.741324800001            
4.826697899305145         24 Jul 2023 19:51:03.733   24.95637875334084         14.11686404909817         6.122831705473579         79062536.87332062         -119078649.7394021        -51619571.44844206        1.018550303342174         -20.1375614431796         -9.264154040375336        -246921258.1608669        -3475196.447913453        5068126.000148296         3998.481188764064            
4.826697899308783         24 Jul 2023 19:51:03.733   24.9563787533404          14.11686404909881         6.122831705473856         79062536.87332414         -119078649.7394001        -51619571.44844119        1.018550303342856         -20.1375614431796         -9.264154040375351        -246921258.1608666        -3475196.447919786        5068126.000145383         3998.481188764064            
5.826697899308783         25 Jul 2023 19:51:03.733   24.69312452622323         14.50270221407424         6.290715361338384         81207446.4692329          -117842256.1163316        -51083293.90965728        1.206490051955814         -20.13425508461252        -9.267708179588565        -246825137.2214699        -5214948.488898143        4267544.83813338          3998.167038364064            
6.826697899308783         26 Jul 2023 19:51:03.733   24.42282360731937         14.88455420436096         6.456870002002816         83329306.01011598         -116572697.4863409        -50532585.62800545        1.394535993481266         -20.12961979326451        -9.270655640430396        -246712773.634928         -6954357.465254575        3466682.698491            3997.852887964063            
7.826697899308783         27 Jul 2023 19:51:03.733   24.14554478395888         15.26231485613209         6.62124982161675          85427509.57453644         -115270322.8585124        -49967597.92340884        1.582678963906272         -20.12365316237545        -9.272995047394812        -246584158.6183408        -8693308.449720725        2665592.291246004         3997.538737564063            
8.826697899308783         28 Jul 2023 19:51:03.733   23.8613585812735          15.6358799297136          6.783809439940169         87501457.29261655         -113935490.2533082        -49388486.08654323        1.770909760201661         -20.11635279593849        -9.274725043840519        -246439284.1856148        -10431686.31623764        1864326.29753422          3997.224587164063            
9.653395797453413         29 Jul 2023 15:41:30.431   23.62125828289094         15.94146393980794         6.916790783055854         89197248.24214646         -112807739.8856435        -48899184.11819961        1.926579502924188         -20.1093088430416         -9.275694138661697        -246307234.7644691        -11868284.85230093        1201826.250606582         3996.96487968868             
9.653395797457051         29 Jul 2023 15:41:30.431   23.62125828289            15.94146393980911         6.916790783056362         89197248.24215302         -112807739.8856393        -48899184.11819772        1.926579502924874         -20.10930884304156        -9.275694138661695        -246307234.7644684        -11868284.85230725        1201826.250603661         3996.96487968868             
10.65339579745705         30 Jul 2023 15:41:30.431   23.3246938798505          16.30704437754001         7.075885113550045         91225361.8540481          -111414572.382325         -48294686.74954894        2.114946832727234         -20.09956599016531        -9.276307498201438        -246132641.3034295        -13605317.88715965        400375.4962212965         3996.651161288681            
11.65339579745705         31 Jul 2023 15:41:30.431   23.02143077688177         16.66813971943579         7.233033267268508         93227562.35483631         -109990011.7649502        -47676527.40067682        2.303375737415692         -20.08848270568816        -9.276307684274467        -245941770.1781613        -15341451.24903609        -401101.6998394504        3996.337442888681            
12.65339579745705         01 Aug 2023 15:41:30.431   22.71154606680053         17.02464942780968         7.388191478314146         95203274.3118374          -108534449.9355359        -47044875.99327607        2.49185684102909          -20.07605666537649        -9.275693357364791        -245734616.4736367        -17076569.02235238        -1202552.378994018        3996.023724488681            
13.65339579745705         02 Aug 2023 15:41:30.431   22.39511852032628         17.3764739809301          7.541316451412531         97151929.0407638          -107048287.3725462        -46399906.32876634        2.680380722123637         -20.06228555187047        -9.274463210561837        -245511176.0849004        -18810555.10125878        -2003923.545375556        3995.710006088681            
14.48009369212741         03 Aug 2023 11:31:57.129   22.12864545515913         17.66371890716457         7.666338830135845         98742047.94142017         -105796865.1269255        -45856781.41596795        2.836258576944317         -20.04988374410585        -9.272980356778053        -245314158.5384287        -20243100.48707262        -2666317.516251996        3995.450655747882            
14.48009369213105         03 Aug 2023 11:31:57.129   22.12864545515842         17.66371890716534         7.666338830136179         98742047.94142441         -105796865.1269221        -45856781.41596647        2.836258576945003         -20.0498837441058         -9.272980356778046        -245314158.5384278        -20243100.48707892        -2666317.516254917        3995.450655747882            
15.48009369213105         04 Aug 2023 11:31:57.129   21.80052948833116         18.00667901317479         7.815615657359089         100639834.087756          -104255868.5304407        -45187945.60942625        3.024836094119827         -20.0336496561061         -9.27062197903928         -245060959.3940346        -21974718.85427807        -3467405.844642483        3995.137455747881            
16.48009369213105         05 Aug 2023 11:31:57.129   21.46610237266027         18.34467832285224         7.962739257782923         102508997.7556624         -102685453.7902791        -44506305.03656866        3.213429461807092         -20.01606405949918        -9.26764412015315         -244791466.3984212        -23704876.22513065        -4268263.611014105        3994.824255747881            
17.48009369213105         06 Aug 2023 11:31:57.129   21.12544922253729         18.67762139640054         8.107668059052559         104348997.3235857         -101086053.703331         -43812047.4228708         3.402029058939995         -19.99712473020053        -9.264045472625147        -244505678.5983329        -25433455.73425435        -5068837.195754655        3994.51105574788             
18.48009369213105         07 Aug 2023 11:31:57.129   20.77865676628277         19.00541390334803         8.250361007144898         106159298.6096156         -99458109.18837288        -43105364.20175348        3.590625215607876         -19.97682945131511        -9.259824767746188        -244203595.8712091        -27160340.33467822        -5869072.954451494        3994.19785574788             
19.30679159722058         08 Aug 2023 07:22:23.828   20.48739139809943         19.27244393390395         8.366607894640426         107633071.8871944         -98091057.19822545        -42511907.19836264        3.74652774741876          -19.95902599151211        -9.255864941946085        -243941561.4915203        -28586589.02654839        -6530332.85337203         3993.938933964004            
19.30679159722422         08 Aug 2023 07:22:23.828   20.48739139809885         19.27244393390448         8.366607894640655         107633071.8871973         -98091057.19822273        -42511907.19836146        3.746527747419446         -19.95902599151203        -9.25586494194607         -243941561.4915191        -28586589.02655466        -6530332.853374936        3993.938933964004            
20.30679159722422         09 Aug 2023 07:22:23.828   20.12967072931913         19.59053759550122         8.505089426445831         109387771.6897641         -96412137.74306655        -41783033.11581285        3.93509247201764          -19.93624814066174        -9.250504708656516        -243609715.3077903        -30310074.66487169        -7329812.60798151         3993.626165964005            
21.30679159722422         10 Aug 2023 07:22:23.828   19.76606457319338         19.90322023681773         8.641221739362322         111111309.5129829         -94705968.08678015        -41042295.45525364        4.123626127769429         -19.9121081985267         -9.244518878020441        -243261578.4023641        -32031533.46807305        -8128802.24411568         3993.313397964006            
22.30679159722422         11 Aug 2023 07:22:23.828   19.39666575196965         20.2104019705641          8.774965685345329         112803180.8463995         -92973019.65881813        -40289898.83331428        4.312118835455999         -19.88660404582693        -9.237906198735557        -242897153.8869473        -33750847.65552146        -8927247.641017366        3993.000629964007            
23.30679159722422         12 Aug 2023 07:22:23.828   19.02156863794527         20.51199412044271         8.906282652863629         114462889.2656864         -91213771.563933          -39526051.31847234        4.500560659871596         -19.85973358131666        -9.230665444173777        -242516445.7284307        -35467899.28093736        -9725094.535908747        3992.687861964008            
24.1334894907377          13 Aug 2023 03:12:50.526   18.70724225716044         20.75703697319448         9.012982486678425         115810334.080456          -89739892.990988          -38886084.32094881        4.656299591285118         -19.8364866946979         -9.224204426142416        -242189423.3191299        -36885589.81158753        -10384182.30988961        3992.429297317249            
24.13348949074134         13 Aug 2023 03:12:50.526   18.70724225715927         20.75703697319537         9.012982486678816         115810334.0804609         -89739892.99098253        -38886084.32094643        4.656299591285803         -19.83648669469779        -9.224204426142386        -242189423.3191284        -36885589.81159377        -10384182.30989252        3992.429297317249            
25.13348949074134         14 Aug 2023 03:12:50.526   18.32216047348195         21.04805668798567         9.139745073423096         117410043.6686449         -87933871.22950403        -38101868.46972229        4.844622629884134         -19.80711505514962        -9.215813225988999        -241778982.9491861        -38598203.26779303        -11180795.55773623        3992.117047717247            
26.13348949074134         15 Aug 2023 03:12:50.526   17.93165551768797         21.33324282819258         9.263974407503065         118976247.195556          -86102956.80155373        -37306809.41468288        5.032866398478262         -19.77637131842986        -9.206790507085895        -241352274.8195238        -40308219.77307218        -11976656.49014668        3991.804798117246            
27.13348949074134         16 Aug 2023 03:12:50.526   17.53582765674783         21.61251148349751         9.385633932452974         120508480.4220354         -84247657.37428446        -36501127.57717393        5.221020743866655         -19.74425348888453        -9.19713507345956         -240909306.2169199        -42015520.68739457        -12771710.51383492        3991.492548517244            
28.13348949074134         17 Aug 2023 03:12:50.526   17.13477864079182         21.88578004816604         9.504687683869504         122006287.8343009         -82368487.76035385        -35685046.62813213        5.409075453224714         -19.7107595883804         -9.186845763810249        -240450085.3077611        -43719987.19773503        -13565902.93937791        3991.180298917243            
28.96018739583451         17 Aug 2023 23:03:17.225   16.79936334432583         22.10710228243656         9.601116458345762         123218210.3498284         -80797329.74438415        -35002703.47735777        5.564457348539774         -19.68202984008704        -9.177860183137058        -240058183.2317646        -45126841.28129406        -14221770.61832081        3990.922162827056            
29.96018739583451         18 Aug 2023 23:03:17.225   16.38922981410437         22.36909023002703         9.715270167282764         124651993.4163181         -78875913.69202125        -34168216.21748507        5.752303485403738         -19.64601726148102        -9.166410018436624        -239569298.2759584        -46825822.85977692        -15014247.62442548        3990.610345227056            
30.96018739583451         19 Aug 2023 23:03:17.225   15.9741707451837          22.62485180098578         9.826719540531386         126050127.3932136         -76932130.27318923        -33323982.7213723         5.940020790124183         -19.60862319383354        -9.154322730692327        -239064188.9050332        -48521633.27882715        -15805707.83247005        3990.298527627057            
31.96018739583451         20 Aug 2023 23:03:17.225   15.55429352189366         22.87430955185105         9.93543082128045          127412191.3465316         -74966520.82650028        -32470238.03678885        6.127598818228972         -19.56984578836913        -9.141597174670389        -238542866.6993827        -50214153.10054423        -16596096.15836456        3989.986710027057            
32.96018739583451         21 Aug 2023 23:03:17.225   15.1297069351653          23.11738744776567         10.04137088546426         128737773.6894067         -72979633.2923404         -31607220.13242877        6.315027065155896         -19.529683221723          -9.128232230868155        -238005344.1391962        -51903262.72598347        -17385357.49749839        3989.674892427057            
33.78688528935163         22 Aug 2023 18:53:43.923   14.77522457684251         23.31346911437473         10.12683573001247         129805797.4919966         -71321405.49784881        -30886934.4393736         6.469852990362003         -19.49543375065591        -9.116699899340308        -237548752.5719683        -53296985.98026851        -18036947.95642229        3989.417113473975            
33.78688528935527         22 Aug 2023 18:53:43.923   14.77522457684175         23.31346911437516         10.12683573001267         129805797.4919987         -71321405.49784511        -30886934.43937208        6.469852990362686         -19.49543375065576        -9.116699899340256        -237548752.5719663        -53296985.98027463        -18036947.95642516        3989.417113473975            
34.78688528935527         23 Aug 2023 18:53:43.923   14.34251987448191         23.54461229318312         10.22759072889033         131063716.134947          -69297089.16730918        -30007602.67247056        6.656980295145113         -19.45273631159087        -9.102164153455675        -236981672.0960693        -54979556.89930914        -18824007.8749935         3989.105814273977            
35.78688528935527         24 Aug 2023 18:53:43.923   13.90542093919643         23.76916845355868         10.32548420353754         132284058.4344353         -67253086.1217396         -29119689.08168207        6.843927765414291         -19.40864874579689        -9.086985924905189        -236398431.5170678        -56658378.72466014        -19609784.07263788        3988.794515073978            
36.78688528935527         25 Aug 2023 18:53:43.923   13.46404191621068         23.98706710959781         10.42048540795849         133466449.6366621         -65189968.55412261        -28223442.25794422        7.030684643531066         -19.36316936771951        -9.071164139316439        -235799046.8472611        -58333331.28653739        -20394220.84676856        3988.483215873979            
37.78688528935527         26 Aug 2023 18:53:43.923   13.01849827383471         24.19823928284173         10.51256428377685         134610524.9240509         -63108314.65458857        -27319113.41039848        7.217240111233864         -19.3162965200366         -9.054697751216114        -235183535.0204946        -60004294.25581048        -21177262.57988717        3988.17191667398             
