Sat.A1ModJulian           Sat.Earth.RMAG            
30145.50042863868         6678.180000000007         
30145.50089160164         6678.179992081797         
30145.50183938147         6678.179926584483         
30145.50286161405         6678.179782356344         
30145.50389256631         6678.179561058349         
30145.50492449906         6678.179265626679         
30145.50595655054         6678.178899330044         
30145.50698860898         6678.178466089486         
30145.50802067314         6678.177970510543         
30145.50905273404         6678.177417866292         
30145.51008479263         6678.176814032392         
30145.51111685328         6678.176165426295         
30145.51214891308         6678.175478945731         
30145.51318098075         6678.174761883291         
30145.51421303952         6678.174021874481         
30145.51524508885         6678.173266787961         
30145.51627714079         6678.172504643088         
30145.51730920138         6678.171743538432         
30145.51834125655         6678.170991576389         
30145.5193733108          6678.170256748434         
30145.52040536223         6678.169546868454         
30145.52143741283         6678.168869482317         
30145.52246946709         6678.168231789146         
30145.52350150952         6678.167640577834         
30145.52453356545         6678.167102119766         
30145.5255656174          6678.166622149622         
30145.52659766297         6678.166205770597         
30145.52762972329         6678.165857401936         
30145.52866177826         6678.165580755193         
30145.52969384014         6678.165378768602         
30145.53072590226         6678.165253591792         
30145.53175796015         6678.165206555755         
30145.5327900143          6678.165238159652         
30145.53382206937         6678.165348067297         
30145.53485413108         6678.165535111599         
30145.5358861906          6678.16579730279          
30145.53691824128         6678.166131850379         
30145.53795029311         6678.166535199893         
30145.53898234073         6678.167003060581         
30145.54001439824         6678.167530465046         
30145.5410464577          6678.168111802858         
30145.54207851494         6678.168740890856         
30145.54311056797         6678.169411038935         
30145.5441426211          6678.170115124663         
30145.54517468408         6678.17084566927          
30145.54620674358         6678.171594896373         
30145.54723880362         6678.172354842982         
30145.5482708575          6678.173117424375         
30145.54930290353         6678.173874531631         
30145.55033496355         6678.174618131138         
30145.55136702545         6678.175340307877         
30145.5523990914          6678.176033384917         
30145.55343116006         6678.176689992142         
30145.55446322163         6678.177303142479         
30145.55549528048         6678.177866320114         
30145.55652733459         6678.178373536844         
30145.55755939037         6678.178819403373         
30145.55859144766         6678.179199178935         
30145.55962350633         6678.179508825447         
30145.56065556781         6678.179745050748         
30145.56168762373         6678.179905341698         
30145.56271968996         6678.179987996004         
30145.56375176743         6678.179992132513         
30145.56478382941         6678.179917707625         
30145.56581589311         6678.179765512959         
30145.56684794544         6678.179537169654         
30145.5678799997          6678.179235103524         
30145.56891205932         6678.178862524353         
30145.56994412274         6678.178423393041         
30145.57097617126         6678.177922387357         
30145.57200822669         6678.177364824109         
30145.57304027378         6678.176756639496         
30145.57407232526         6678.176104292461         
30145.57510438635         6678.175414714549         
30145.57613645061         6678.174695241019         
30145.57716851211         6678.173953525478         
30145.57820057871         6678.173197448253         
30145.57923263739         6678.172435057551         
30145.58026469385         6678.171674455004         
30145.58129674817         6678.17092372723          
30145.58232880706         6678.170190851166         
30145.58336086972         6678.169483619597         
30145.58439292447         6678.168809559646         
30145.58542497559         6678.168175834528         
30145.58645703259         6678.167589176323         
30145.58748908645         6678.167055827665         
30145.58852113633         6678.166581458959         
30145.5895531849          6678.166171111959         
30145.59058524219         6678.165829146196         
30145.59161730337         6678.165559200335         
30145.59264935922         6678.165364146719         
30145.59368141447         6678.165246057621         
30145.59471346714         6678.165206188438         
30145.59574552213         6678.165244962845         
30145.59677757468         6678.1653619684           
30145.5978096394          6678.16555596384          
30145.59884170042         6678.16582488455          
30145.59987376388         6678.166165872777         
30145.60090581565         6678.166575297517         
30145.60193787221         6678.167048811585         
30145.60296993184         6678.16758138049          
30145.6040019893          6678.168167339311         
30145.6050340399          6678.168800454824         
30145.60606609688         6678.169474003802         
30145.60709815999         6678.170180825564         
30145.60813021276         6678.170913393767         
30145.60916226832         6678.171663928764         
30145.61019431916         6678.172424445457         
30145.61122637951         6678.173186868542         
30145.61225843827         6678.173943083765         
30145.61329049811         6678.174685052972         
30145.61432256568         6678.175404892027         
30145.61535462138         6678.1760949341           
30145.61638669239         6678.176747860518         
30145.61741875187         6678.177356712205         
30145.61845081525         6678.17791502537          
30145.61948287384         6678.178416859409         
30145.62051492238         6678.178856877582         
30145.6215469752          6678.17923040831          
30145.62257902765         6678.179533478221         
30145.62361108694         6678.179762866538         
30145.62464314529         6678.179916132066         
30145.6256751985          6678.17999164536          
30145.6267072678          6678.179988603869         
30145.62773932101         6678.179907040027         
30145.62877138865         6678.179747818813         
30145.6298034509          6678.179512635104         
30145.63083551128         6678.179203989379         
30145.63186756958         6678.17882516363          
30145.63289962269         6678.178380187373         
30145.63393168789         6678.177873783515         
30145.63496375119         6678.177311342124         
30145.63599581373         6678.176698842713         
30145.63702787178         6678.176042799944         
30145.63805992295         6678.17535019103          
30145.63909198037         6678.174628370994         
30145.64012402927         6678.1738850245           
30145.64115609373         6678.173128037349         
30145.64218816259         6678.172365465748         
30145.64322022294         6678.171605426968         
30145.64425227784         6678.170855999432         
30145.64528433653         6678.170125144359         
30145.64631639022         6678.169420638352         
30145.64734844752         6678.168749965816         
30145.64838049853         6678.168120263568         
30145.64941255191         6678.167538221073         
30145.65044460566         6678.167010027901         
30145.65147666072         6678.166541299458         
30145.65250871648         6678.166137019719         
30145.65354076947         6678.165801488142         
30145.654572825           6678.165538270361         
30145.65560488042         6678.165350165846         
30145.65663694031         6678.165239174185         
30145.65766899857         6678.165206476423         
30145.65870105018         6678.165252419423         
30145.65973310592         6678.165376514914         
30145.66076515637         6678.165577442258         
30145.66179720423         6678.165853064865         
30145.66282925931         6678.16620045544          
30145.6638613152          6678.166615919198         
30145.66489337401         6678.167095040123         
30145.66592543275         6678.167632723037         
30145.66695748405         6678.168223246861         
30145.66798954734         6678.16886034451          
30145.66902160004         6678.169537228577         
30145.67005365016         6678.170246706972         
30145.67108570738         6678.170981243388         
30145.67211776563         6678.171733024198         
30145.67314982307         6678.172494055131         
30145.67418188047         6678.173256245452         
30145.67521393106         6678.174011486663         
30145.67624599278         6678.174751762048         
30145.67727804913         6678.175469189101         
30145.67831010766         6678.176156145485         
30145.67934216941         6678.176805327896         
30145.68037422657         6678.177409829435         
30145.68140628107         6678.177963224683         
30145.6824383435          6678.178459635212         
30145.68347040408         6678.178893777983         
30145.68450245917         6678.179261036362         
30145.68553451401         6678.17955750812          
30145.68656656716         6678.179780041003         
30145.68759863163         6678.179926270796         
30145.68863068506         6678.179994639619         
30145.68966274577         6678.179984422205         
30145.69069480252         6678.179895726927         
30145.69172685542         6678.179729497657         
30145.69275891697         6678.179487499197         
30145.69379098058         6678.179172304849         
30145.69482303672         6678.178787269221         
30145.69585508858         6678.178336485959         
30145.69688715046         6678.177824741013         
30145.69791920027         6678.177257486277         
30145.69895126274         6678.176640739196         
30145.69998331347         6678.175981071439         
30145.70101536524         6678.175285488998         
30145.70204742282         6678.174561383715         
30145.70307948512         6678.173816454641         
30145.70411154426         6678.173058627515         
30145.70514360179         6678.1722959585           
30145.70617565062         6678.171536561505         
30145.70720772091         6678.170788488497         
30145.70823978369         6678.170059714263         
30145.70927184127         6678.169357985189         
30145.71030389322         6678.168690761887         
30145.7113359567          6678.168065127586         
30145.71236800797         6678.167487748309         
30145.7134000687          6678.166964750518         
30145.7144321273          6678.166501701211         
30145.71546417993         6678.166103524529         
30145.71649623254         6678.165774451021         
30145.71752828201         6678.165517980047         
30145.71856033474         6678.165336836821         
30145.71959239083         6678.165232947973         
30145.72062445149         6678.165207418828         
30145.72165650798         6678.165260521074         
30145.72268856515         6678.16539168998          
30145.72372062185         6678.16559953083          
30145.72475268437         6678.165881835691         
30145.72578473684         6678.166235598315         
30145.72681678866         6678.166657059614         
30145.72784884921         6678.167141743195         
30145.72888091034         6678.167684492882         
30145.72991296409         6678.168279533411         
30145.73094501886         6678.168920542673         
30145.73197707729         6678.169600707375         
30145.7330091313          6678.170312790664         
30145.73404119628         6678.171049232481         
30145.73507326345         6678.171802197042         
30145.73610531966         6678.172563669034         
30145.73713736778         6678.173325554467         
30145.73816943376         6678.174079772019         
30145.7392014977          6678.174818288075         
30145.74023356153         6678.17553325209          
30145.74126562262         6678.176217060791         
30145.74229767884         6678.176862442892         
30145.74332973667         6678.177462540934         
30145.74436179781         6678.178010975328         
30145.74539386226         6678.178501914589         
30145.74642591662         6678.178930133294         
30145.74745797908         6678.179291086328         
30145.74849003343         6678.179580930419         
