Sat.A1ModJulian           Sat.Earth.RMAG            
29862.50042863868         7000                      
29862.50244352887         7000.007789875991         
29862.5044212551          7000.063915638088         
29862.50639471854         7000.215502048502         
29862.50836771386         7000.506577738254         
29862.51034072816         7000.976504170032         
29862.51231388246         7001.65863674807          
29862.51428726919         7002.579217688713         
29862.51626098822         7003.756506526452         
29862.51823514942         7005.200177685815         
29862.52020986795         7006.911002368968         
29862.52218526116         7008.880827342214         
29862.5241614444          7011.092849000381         
29862.52613852794         7013.522174873507         
29862.52811661207         7016.136651046835         
29862.53009578488         7018.897933396571         
29862.5320761188          7021.762763523162         
29862.53405766839         7024.68441107974          
29862.53604046784         7027.614233341435         
29862.5380245308          7030.503304898849         
29862.54000984912         7033.304058852254         
29862.54199639376         7035.971889269091         
29862.5439841152          7038.46665732223          
29862.54597294554         7040.754052743975         
29862.54796280027         7042.806761021074         
29862.54995358171         7044.605397817654         
29862.5519451818          7046.139175045779         
29862.55393748593         7047.406276330788         
29862.555930377           7048.41392683434          
29862.55792373955         7049.178154282931         
29862.55991746277         7049.723248529707         
29862.56191144523         7050.0809393266           
29862.56390559786         7050.289319363074         
29862.56589984745         7050.391551065584         
29862.56789413834         7050.434401974746         
29862.56988843483         7050.466659912277         
29862.57188272271         7050.537482633017         
29862.57387700892         7050.694738744621         
29862.57587132195         7050.983396384508         
29862.577865711           7051.444013943684         
29862.57986024356         7052.111382771425         
29862.58185500423         7053.01336699912          
29862.58385009102         7054.169977185593         
29862.58584561193         7055.592707521035         
29862.58784168229         7057.284158410404         
29862.58983842038         7059.237953975604         
29862.59183594313         7061.438957050251         
29862.59383436268         7063.863775059814         
29862.59583378289         7066.481539466698         
29862.59783429514         7069.254932055307         
29862.59983597578         7072.141427671408         
29862.60183888327         7075.094711010352         
29862.6038430565          7078.066223014991         
29862.60584851353         7081.006785779406         
29862.6078552509          7083.868252075705         
29862.60986324323         7086.605124768511         
29862.61187244508         7089.176094152538         
29862.61388279131         7091.545435849304         
29862.61589420037         7093.684227156116         
29862.61790657603         7095.571333586244         
29862.61991981108         7097.194135236617         
29862.62193379171         7098.548964750032         
29862.62394840004         7099.64123906331          
29862.62596351876         7100.485282947837         
29862.62797903506         7101.103847219011         
29862.62999484486         7101.527338829157         
29862.63201085558         7101.792789097913         
29862.63402698985         7101.942596745692         
29862.63604318806         7102.023089015761         
29862.63805940983         7102.082951285156         
29862.6400756365          7102.17157961327          
29862.64209187089         7102.337412831253         
29862.64410813744         7102.626301149632         
29862.64612448152         7103.079966319484         
29862.64814096747         7103.734604506514         
29862.65015767733         7104.619678398333         
29862.65217470711         7105.756936811646         
29862.65419216399         7107.159694009958         
29862.65621016306         7108.832391166527         
29862.65822882296         7110.770452643588         
29862.66024826257         7112.960442273661         
29862.66226859567         7115.380511056383         
29862.66428992912         7118.001127233947         
29862.66631235767         7120.786057151884         
29862.66833596161         7123.693572198355         
29862.67036080375         7126.677838536968         
29862.67238692764         7129.690447081444         
29862.67441435543         7132.682031255916         
29862.67644308805         7135.60392368033          
29862.6784731048          7138.409792011535         
29862.6805043635          7141.057201291502         
29862.68253680281         7143.509051716686         
29862.68457034349         7145.734838191449         
29862.68660489132         7147.711691548093         
29862.68864034066         7149.425163209946         
29862.69067657771         7150.869724276648         
29862.69271348399         7152.048961671506         
29862.69475094116         7152.975464175778         
29862.69678883456         7153.670399745836         
29862.69882705678         7154.162799749311         
29862.7008655123          7154.488574757497         
29862.70290411962         7154.6892952806           
29862.70494281493         7154.810781107257         
29862.70698155368         7154.901547689544         
29862.7090203125          7155.011163866692         
29862.71105908986         7155.188577396249         
29862.71309790579         7155.480465502868         
29862.7151368019          7155.929666366916         
29862.71717583967         7156.573743852215         
