Sat.A1ModJulian           Sat.Earth.RMAG            
29862.50042863868         7000                      
29862.50243875037         7000.02002546009          
29862.50441594356         7000.11278136751          
29862.50638936642         7000.325752950631         
29862.50836239822         7000.702643232133         
29862.51033548736         7001.281651530193         
29862.51230875974         7002.09418955953          
29862.51428231675         7003.163845596679         
29862.51625626772         7004.505606527801         
29862.51823072896         7006.125363876614         
29862.52020582167         7008.019723637505         
29862.52218166749         7010.176122918632         
29862.52415838408         7012.573249924602         
29862.52613608178         7015.181754407187         
29862.52811485957         7017.965223567674         
29862.53009480171         7020.881393047792         
29862.53207597515         7023.883554379082         
29862.53405842743         7026.922112665085         
29862.53604218463         7029.946243309662         
29862.53802725042         7032.905594786545         
29862.54001360687         7035.751982300702         
29862.54200121381         7038.441010631591         
29862.54399001129         7040.933578132369         
29862.54597992066         7043.197203665752         
29862.54797084767         7045.207135364437         
29862.54996268555         7046.947199121119         
29862.55195531862         7048.410357427264         
29862.5539486263          7049.598957832553         
29862.55594248707         7050.524661034356         
29862.55793678299         7051.208050808493         
29862.5599314029          7051.677938011092         
29862.56192624679         7051.97038378384          
29862.56392122936         7052.127475042898         
29862.56591628232         7052.195895434525         
29862.56791135715         7052.225341811095         
29862.56990642683         7052.266841102283         
29862.57190148651         7052.371025834096         
29862.57389655379         7052.586427335278         
29862.57589166776         7052.957844338539         
29862.57788688835         7053.52484182102          
29862.5798822939          7054.320429397285         
29862.58187797899         7055.369962766677         
29862.58387405046         7056.690302454406         
29862.58587062416         7058.289257422976         
29862.58786782197         7060.165330943691         
29862.58986576655         7062.307773719894         
29862.59186457767         7064.696944475581         
29862.59386436824         7067.304964470415         
29862.59586524037         7070.09664476858          
29862.59786728265         7073.030657550887         
29862.59987056613         7076.060910209259         
29862.60187514288         7079.138083110987         
29862.60388104374         7082.211276227549         
29862.60588827719         7085.229713477214         
29862.6078968294          7088.144448613684         
29862.60990666478         7090.910014573441         
29862.61191772649         7093.485959954223         
29862.61392993909         7095.838223020372         
29862.61594321067         7097.940292058708         
29862.61795743597         7099.77411333182          
29862.61997250012         7101.330713751115         
29862.62198828196         7102.610514748078         
29862.62400465932         7103.623327134875         
29862.62602151224         7104.388023471349         
29862.62803872691         7104.931901176546         
29862.63005620024         7105.28975754265          
29862.63207384274         7105.502708236409         
29862.63409158196         7105.616791360745         
29862.63610936483         7105.681405432636         
29862.63812715951         7105.747635829131         
29862.64014495656         7105.866527571558         
29862.64216276865         7106.087363645692         
29862.64418063149         7106.456007526577         
29862.64619860114         7107.013365136456         
29862.6482167532          7107.794017724136         
29862.65023517936         7108.825069562895         
29862.65225398523         7110.12524864767          
29862.6542732865          7111.704287811773         
29862.65629320437         7113.562605233001         
29862.65831386307         7115.691296142877         
29862.660335384           7118.072430620334         
29862.66235788268         7120.6796523052           
29862.66438146467         7123.479055289664         
29862.66640622218         7126.430311810775         
29862.66843223093         7129.488014371824         
29862.67045954721         7132.603188043248         
29862.67248820678         7135.724926834034         
29862.67451822262         7138.802095842641         
29862.67654958575         7141.785049455213         
29862.67858226442         7144.627301397771         
29862.68061620603         7147.287096602688         
29862.68265133801         7149.728826109938         
29862.68468757099         7151.924240548889         
29862.686724801           7153.853415621438         
29862.68876291421         7155.505439148542         
29862.69080179009         7156.878790393724         
29862.692841305           7157.981400248017         
29862.69488133704         7158.830389237417         
29862.6969217702          7159.451490504334         
29862.69896249793         7159.878177971449         
29862.70100342704         7160.150530389865         
29862.70304448106         7160.313870512532         
29862.70508560208         7160.417227066847         
29862.7071267536          7160.511673318504         
29862.70916792145         7160.648599505381         
29862.71120911416         7160.877978691339         
29862.71325036281         7161.246685004519         
29862.71529171974         7161.796920766521         
29862.71733325733         7162.564805001812         
29862.71937506491         7163.579169112282         
29862.72141724648         7164.860599375116         
29862.72345991655         7166.420755553598         
29862.72550319692         7168.261988207842         
29862.72754721215         7170.377264651986         
29862.72959208542         7172.7504060786           
29862.73163793495         7175.35662816562          
29862.73368486969         7178.163365608355         
29862.73573298523         7181.131354483989         
29862.73778236171         7184.215940115148         
29862.73983306015         7187.368563276879         
29862.74188512081         7190.538381263353         
29862.74393856174         7193.673968422811         
29862.74599337829         7196.725041455414         
29862.74804954311         7199.644151101794         
29862.75010700732         7202.388284592372         
29862.75216570189         7204.920322764128         
29862.7542255402          7207.210303207906         
29862.75628642024         7209.236443317232         
29862.75834822894         7210.985889930828         
29862.76041084565         7212.455165100027         
29862.76247414629         7213.650293270057         
29862.76453800748         7214.586603973452         
29862.76660231065         7215.288216240014         
29862.76866694601         7215.787222313217         
29862.77073181692         7216.122598929751         
29862.77279684241         7216.338883812913         
29862.77486196024         7216.484664272402         
29862.77692712918         7216.610930193436         
29862.77899233011         7216.769348642301         
29862.78105756707         7217.010519555662         
29862.78312286658         7217.382271842724         
29862.78518827732         7217.928057587495         
29862.7872538682          7218.685497621428         
29862.7893197261          7219.685126403671         
29862.79138595277         7220.949376678142         
29862.79345266226         7222.491837098265         
29862.79551997576         7224.316803992256         
29862.797588019           7226.419144047678         
29862.79965691634         7228.78446707995          
29862.80172678886         7231.389609118218         
29862.80379774796         7234.203400866667         
29862.8058698935          7237.187706708145         
29862.80794330957         7240.298692175526         
29862.81001806181         7243.488283925434         
29862.81209419516         7246.705773240798         
29862.81417173285         7249.899512235686         
29862.81625067446         7253.018643509231         
29862.81833099747         7256.01481267957          
29862.82041265681         7258.843797877072         
29862.82249558724         7261.467008374484         
29862.82457970428         7263.852794704473         
29862.82666490846         7265.977530802325         
29862.82875108804         7267.826424037717         
29862.83083812259         7269.394027028258         
29862.83292588693         7270.68443210033          
29862.8350142566          7271.711140839912         
29862.83710311084         7272.496610271493         
29862.83919233688         7273.071493720153         
29862.84128183433         7273.473601408912         
29862.84337151772         7273.746616688275         
29862.84546132066         7273.938613603754         
29862.84755119725         7274.100426736257         
29862.84964112326         7274.283930489136         
29862.85173109814         7274.540287012746         
29862.85382114375         7274.918222341748         
29862.85591130489         7275.462389566601         
29862.85800164703         7276.211873152418         
29862.86009225442         7277.198884155561         
29862.86218322685         7278.447688218891         
29862.86427467653         7279.973801151694         
29862.86636672524         7281.783478018363         
29862.8684594984          7283.873508190547         
29862.87055312263         7286.231327399337         
29862.87264772049         7288.835437029539         
29862.87474340682         7291.656120627832         
29862.87684028497         7294.656432424628         
29862.8789384433          7297.793426273607         
29862.88103795189         7301.019584897067         
29862.88313886071         7304.284405176284         
29862.88524119753         7307.536085246454         
29862.88734496745         7310.723260689355         
29862.88945015201         7313.796729599659         
29862.89155671041         7316.711112213362         
29862.89366458069         7319.426386080625         
29862.8957736818          7321.909245232887         
29862.89788391629         7324.134236018175         
29862.89999517335         7326.084629331403         
29862.90210733329         7327.752999039775         
29862.90422027097         7329.141483040324         
29862.90633386022         7330.26171909728          
29862.90844797834         7331.134455859024         
29862.91056250962         7331.788851723397         
29862.91267734977         7332.261486747503         
29862.9147924096          7332.595121021277         
29862.91690761779         7332.837243206232         
29862.91902292396         7333.038460128857         
29862.92113829901         7333.250783046034         
29862.92325373727         7333.525870205646         
29862.92536925651         7333.913285462975         
29862.92748489742         7334.458832217183         
29862.92960072152         7335.203018093125         
29862.93171680988         7336.179701710017         
29862.93383326036         7337.414965265463         
29862.93595018407         7338.926249048799         
29862.93806770168         7340.721775386968         
29862.94018593963         7342.800279990552         
29862.94230502525         7345.151057288831         
29862.94442508368         7347.754320414875         
29862.94654623279         7350.581859688844         
29862.94866857941         7353.597981118141         
29862.95079221593         7356.760693785272         
29862.95291721705         7360.023107367204         
29862.95504363757         7363.334995535492         
29862.95717151016         7366.644472993337         
29862.95930084441         7369.899733148388         
29862.9614316268          7373.050788346455         
29862.96356382092         7376.051153633987         
29862.96569736849         7378.859417952473         
29862.96783219153         7381.440649804568         
29862.96996819517         7383.767587523059         
29862.9721052701          7385.821571828132         
29862.97424329737         7387.593190016516         
29862.97638215126         7389.082604251514         
29862.97852170478         7390.299555710103         
29862.9806618327          7391.263039506623         
29862.98280241696         7392.000664701954         
29862.98494334991         7392.547718498363         
29862.987084538           7392.945968937634         
29862.98922590585         7393.242247359652         
29862.99136739759         7393.486859686219         
29862.99350897925         7393.731882611164         
29862.99565064074         7394.029403134146         
29862.99779239528         7394.429761811983         
29862.99993427863         7394.979859413106         
29863.00207634882         7395.721584144945         
29863.00421868425         7396.690411346226         
29863.00636138008         7397.914220903775         
29863.00850454573         7399.412371594592         
29863.01064830122         7401.195060917925         
29863.01279277339         7403.262990768817         
29863.01493809087         7405.607347533206         
29863.01708438078         7408.210099090755         
29863.01923176339         7411.044594839575         
29863.0213803492          7414.076453713226         
29863.0235302347          7417.264707033181         
29863.0256814992          7420.563161900113         
29863.02783420237         7423.921940725789         
29863.0299883816          7427.289145525476         
29863.03214405195         7430.612596575042         
29863.03430120438         7433.841581791592         
29863.03645980675         7436.928565070965         
29863.03861980501         7439.830792327448         
29863.04078112424         7442.511740025139         
29863.04294367171         7444.942359403828         
29863.04510734034         7447.102070055472         
29863.0472720118          7448.97946737337          
29863.04943756078         7450.572719929249         
29863.05160385893         7451.889640402651         
29863.05377077929         7452.947427653326         
29863.05593820094         7453.772087699274         
29863.05810601263         7454.397553064917         
29863.0602741172          7454.864531867704         
29863.06244243443         7455.219125954745         
29863.0646109037          7455.511267012224         
29863.0667794866          7455.793024886137         
29863.06894816753         7456.116846515791         
29863.07111695477         7456.533786289893         
29863.07328588027         7457.091787874567         
29863.07545499812         7457.834075239829         
29863.077624383           7458.797706592853         
29863.07979412796         7460.012338659404         
29863.08196434056         7461.499240660056         
29863.08413514016         7463.270590603758         
29863.08630665319         7465.329074200461         
29863.08847901002         7467.667800771696         
29863.09065233867         7470.270533673379         
29863.09282676295         7473.112234634908         
